storecode,storename,cityName,districtName,address,starttime,endtime,lat,lng
,肯德基(万向城店),廊坊,广阳区,广阳道南侧裕华路西侧(万向城项目)一二层,,,39.536771,116.68482
,肯德基(东方大学城店),廊坊,广阳区,兴华路与金康道交口东北角华联商厦一层,,,39.599111,116.754927
,肯德基(廊坊爱民西道店),廊坊,安次区,荣开路与爱民西道交叉口西北60米,,,39.521648,116.658464
,肯德基(明珠店),廊坊,广阳区,新华路43号商业明珠大厦1楼,,,39.518518,116.708966
,肯德基(明珠新开路店),廊坊,广阳区,新开路10号明珠大厦F1层,,,39.532158,116.718655
,肯德基(万庄中石油店),廊坊,广阳区,万庄石油基地京廊路中国石油第九十七加油站内,,,39.566923,116.626086
,肯德基(廊坊北凤道DT店),廊坊,广阳区,祥云道89号荣盛·塞纳荣府,,,39.558839,116.763533
,肯德基(廊坊元辰超市餐厅店),廊坊,安次区,爱民西道86号A01号铺位,,,39.523196,116.678473
,肯德基(北京大兴国际机场店),廊坊,广阳区,大安路北京大兴国际机场2F层(大兴机场地铁站A入口旁),,,39.510952,116.418602
,肯德基(廊坊馨语星苑店),廊坊,安次区,光明西道馨语星苑商业2C-3-101-A,,,39.512188,116.67104
,肯德基(安平购物中心店),廊坊,香河县,安平购物中心,,,39.706179,116.892387
,肯德基(新机场1号店),廊坊,广阳区,大兴国际机场2层国内混流区(大兴机场地铁站A入口旁),,,39.512167,116.418015
,肯德基(廊坊红楼梦剧院餐厅),廊坊,广阳区,开发区新开路东新奥文化产业园北红楼梦戏剧幻城内云锦广场F1-3号商铺,,,39.564426,116.716017
,肯德基(廊坊永清明珠店),廊坊,永清县,永清镇北关村文苑路西侧明珠购物广场F01号1层,,,39.335633,116.504752
,肯德基(廊坊狮子城餐厅店),廊坊,安次区,黄金城道步行街S3号楼113-114-115号商铺,,,39.496042,116.696834
,肯德基(廊坊阳光馨苑店),廊坊,安次区,常甫路97号阳光馨苑商业一层,,,39.498931,116.709008
,肯德基精选(北京大兴国际机场店),廊坊,广阳区,大安路北京大兴国际机场5F层(大兴机场地铁站A入口旁),,,39.511859,116.416185
,肯德基(廊坊固安宝德店),廊坊,固安县,宝德购物中心1层,,,39.438123,116.313839
,肯德基(香百店),廊坊,香河县,新开街香河华联香百超市1层,,,39.756471,117.004251
,肯德基(鑫乐汇店),廊坊,三河市,鑫乐汇购物广场北门西160米,,,39.971405,116.797703
,肯德基(兴达店),廊坊,三河市,燕郊学院路南公园西侧百花超一二层,,,39.952817,116.809254
,肯德基(尚京广场店),廊坊,三河市,学院大街南侧燕昌路东侧尚京广场S5-2-101商铺,,,39.954011,116.838186
,肯德基(凯顺店),廊坊,霸州市,大华超市北门旁,,,39.068688,116.705581
